t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.19629119336605072,-1.2003023624420166,-2.2725887298583984,-3.076651096343994,-3.2004001140594482	3.94,-0.04749999999999999,3.190809814420753	-22.067520022392273,-119.87783908843994,-224.302339553833,-305.34863471984863,-321.1677551269531	1.1484781503677368,1.1999400854110718,1.2079187631607056,0.8004012107849121,0.34049245715141296
240	-0.22067520022392273,-1.1987783908843994,-2.24302339553833,-3.0534863471984863,-3.2116775512695312	3.75,-0.04500000000000004,3.314835825690462	-24.414479732513428,-120.54840326309204,-222.29065895080566,-304.40378189086914,-320.89343070983887	1.129920482635498,1.178947925567627,1.2022926807403564,0.8600289821624756,0.35294172167778015
240	-0.24414479732513428,-1.2054840326309204,-2.2229065895080566,-3.0440378189086914,-3.2089343070983887	3.57,-0.029999999999999916,3.5250853290517674	-26.42616033554077,-121.95048332214355,-221.34575843811035,-303.1235933303833,-320.9848880767822	1.1237035989761353,1.1625183820724487,1.190783977508545,0.8816841840744019,0.37557700276374817
240	-0.2642616033554077,-1.2195048332214355,-2.2134575843811035,-3.031235933303833,-3.2098488807678223	3.45,0.007499999999999951,3.662488483588492	-26.85287892818451,-123.59639406204224,-221.34575843811035,-302.422571182251,-320.8019971847534	1.140499472618103,1.14785897731781,1.1779258251190186,0.9019323587417603,0.38959890604019165
240	-0.2685287892818451,-1.2359639406204224,-2.2134575843811035,-3.0242257118225098,-3.208019971847534	3.48,0.010000000000000009,3.758817215060942	-26.70047879219055,-124.93752241134644,-221.95537090301514,-302.11775302886963,-320.58863639831543	1.1510848999023438,1.144347071647644,1.1636812686920166,0.9083300232887268,0.39923182129859924
240	-0.2670047879219055,-1.2493752241134644,-2.2195537090301514,-3.0211775302886963,-3.2058863639831543	3.52,0.007499999999999951,3.7913638704384094	-26.395681500434875,-125.6690502166748,-222.90024757385254,-302.1787166595459,-320.3143119812012	1.1558201313018799,1.146039366722107,1.152649164199829,0.9068371057510376,0.401742547750473
240	-0.26395681500434875,-1.256690502166748,-2.2290024757385254,-3.021787166595459,-3.2031431198120117	3.55,0.007500000000000062,3.8109917398568234	-26.060402393341064,-125.97383260726929,-223.81463050842285,-302.422571182251,-320.2838659286499	1.1599994897842407,1.1494797468185425,1.1470469236373901,0.8977881073951721,0.403763085603714
240	-0.26060402393341064,-1.2597383260726929,-2.2381463050842285,-3.0242257118225098,-3.202838659286499	3.58,0.007499999999999951,3.7815918024387516	-25.664159655570984,-126.03480815887451,-224.5156764984131,-302.84926891326904,-320.2533721923828	1.1631128787994385,1.1533901691436768,1.144920825958252,0.8904502987861633,0.40059247612953186
240	-0.25664159655570984,-1.2603480815887451,-2.245156764984131,-3.0284926891326904,-3.202533721923828	3.61,0.0050000000000000044,3.7453925865144604	-25.328880548477173,-125.91288089752197,-224.97289180755615,-303.21505069732666,-320.3143119812012	1.1639777421951294,1.1569374799728394,1.1454540491104126,0.8820780515670776,0.3968677520751953
240	-0.25328880548477173,-1.2591288089752197,-2.2497289180755615,-3.0321505069732666,-3.2031431198120117	3.63,-0.0050000000000000044,3.6992385057568127	-25.4203200340271,-125.6690502166748,-225.21672248840332,-303.5503149032593,-320.37527561187744	1.1590602397918701,1.1593539714813232,1.1473532915115356,0.8767318725585938,0.3921854794025421
240	-0.254203200340271,-1.256690502166748,-2.252167224884033,-3.0355031490325928,-3.2037527561187744	3.61,-0.007499999999999951,3.65362420185643	-25.69464147090912,-125.54712295532227,-225.2776861190796,-303.76367568969727,-320.40576934814453	1.1539310216903687,1.1595458984375,1.1497548818588257,0.872992217540741,0.3875093162059784
240	-0.2569464147090912,-1.2554712295532227,-2.252776861190796,-3.0376367568969727,-3.2040576934814453	3.58,-0.007500000000000062,3.6337459658393896	-26.09088122844696,-125.57759284973145,-225.2471923828125,-303.8551092147827,-320.49720287323	1.1507601737976074,1.1577092409133911,1.151819109916687,0.8702793121337891,0.38567203283309937
240	-0.2609088122844696,-1.2557759284973145,-2.252471923828125,-3.038551092147827,-3.2049720287323	3.55,-0.007499999999999951,3.6139446165683107	-26.487120985984802,-125.73000192642212,-225.21672248840332,-303.916072845459,-320.52767276763916	1.1475383043289185,1.154677152633667,1.1520330905914307,0.8705585598945618,0.3836435079574585
240	-0.264871209859848,-1.2573000192642212,-2.252167224884033,-3.03916072845459,-3.2052767276763916	3.52,-0.0050000000000000044,3.6050006448251497	-26.822400093078613,-126.00431442260742,-225.2471923828125,-303.916072845459,-320.52767276763916	1.1465349197387695,1.1521188020706177,1.1509848833084106,0.8701562881469727,0.3826882243156433
240	-0.26822400093078613,-1.2600431442260742,-2.252471923828125,-3.03916072845459,-3.2052767276763916	3.5,-0.007499999999999951,3.60947196916283	-27.218639850616455,-126.30912065505981,-225.39961338043213,-303.916072845459,-320.58863639831543	1.1432162523269653,1.1499876976013184,1.1497902870178223,0.8694153428077698,0.38330078125
240	-0.27218639850616455,-1.2630912065505981,-2.2539961338043213,-3.03916072845459,-3.2058863639831543	3.47,-0.007500000000000062,3.5886355160157155	-27.614879608154297,-126.61391496658325,-225.58248043060303,-304.00753021240234,-320.4667329788208	1.139847993850708,1.1470966339111328,1.1472058296203613,0.8699938654899597,0.38080263137817383
240	-0.27614879608154297,-1.2661391496658325,-2.2558248043060303,-3.0400753021240234,-3.204667329788208	3.44,-0.007499999999999951,3.599927264952021	-28.07208001613617,-126.97967290878296,-225.8263111114502,-304.03802394866943,-320.55816650390625	1.1374270915985107,1.1447727680206299,1.1454263925552368,0.8662019371986389,0.38225117325782776
